item_id,context-level,irony_label,basic_utterance,full_prompt
C1_13_L_NI,low,non-ironic,That exam went well.,"Is the following statement ironic? Answer with yes or no. 
""That exam went well."""
C1_13_L,high,ironic,That exam went well.,"Is the following statement ironic? Answer with yes or no. 
""I forgot to study, ran out of time on every section, and accidentally submitted the wrong file. That exam went well."""
C1_13_L_NI,high,non-ironic,That exam went well.,"Is the following statement ironic? Answer with yes or no. 
""I had studied all week, finished with time to spare, and felt confident about every answer. That exam went well."""
C1_14_M,low,ironic,What a smooth commute.,"Is the following statement ironic? Answer with yes or no. 
""What a smooth commute."""
C1_14_M_NI,low,non-ironic,What a smooth commute.,"Is the following statement ironic? Answer with yes or no. 
""What a smooth commute."""
C1_14_L,high,ironic,What a smooth commute.,"Is the following statement ironic? Answer with yes or no. 
""There were two delays, a signal failure, I had to stand the whole way, and missed my connection. What a smooth commute."""
C1_14_L_NI,high,non-ironic,What a smooth commute.,"Is the following statement ironic? Answer with yes or no. 
""The train was on time, I got a seat by the window, and arrived ten minutes early. What a smooth commute."""
C1_15_M,low,ironic,That party was so much fun.,"Is the following statement ironic? Answer with yes or no. 
""That party was so much fun."""
C1_15_M_NI,low,non-ironic,That party was so much fun.,"Is the following statement ironic? Answer with yes or no. 
""That party was so much fun."""
C1_15_L,high,ironic,That party was so much fun.,"Is the following statement ironic? Answer with yes or no. 
""Nobody showed up, the music broke, and the food ran out within ten minutes. That party was so much fun."""
C1_15_L,high,non-ironic,That party was so much fun.,"Is the following statement ironic? Answer with yes or no. 
""Everyone came, we danced until midnight, and it ended with a surprise fireworks display. That party was so much fun."""
C1_16_L_I,low,ironic,That was a brilliant idea.,"Is the following statement ironic? Answer with yes or no. 
""That was a brilliant idea."""
C1_16_L_NI,low,non-ironic,That was a brilliant idea.,"Is the following statement ironic? Answer with yes or no. 
""That was a brilliant idea."""
C1_16_H_I,high,ironic,That was a brilliant idea.,"Is the following statement ironic? Answer with yes or no. 
""He suggested skipping the safety checks to save time, and the whole system crashed within an hour. That was a brilliant idea."""
C1_16_H_NI,high,non-ironic,That was a brilliant idea.,"Is the following statement ironic? Answer with yes or no. 
""She proposed a shortcut that saved the team two days of work and impressed the entire department. That was a brilliant idea."""
C1_17_L_I,low,ironic,I am so happy with this result.,"Is the following statement ironic? Answer with yes or no. 
""I am so happy with this result."""
C1_17_L_NI,low,non-ironic,I am so happy with this result.,"Is the following statement ironic? Answer with yes or no. 
""I am so happy with this result."""
C1_17_H_I,high,ironic,I am so happy with this result.,"Is the following statement ironic? Answer with yes or no. 
""I studied for weeks, stayed up all night, and still failed the test by one mark. I am so happy with this result."""
C1_17_H_NI,high,non-ironic,I am so happy with this result.,"Is the following statement ironic? Answer with yes or no. 
""I put in months of hard work and came out with the highest grade in my cohort. I am so happy with this result."""
C1_18_L_I,low,ironic,What a kind thing to do.,"Is the following statement ironic? Answer with yes or no. 
""What a kind thing to do."""
C1_18_L_NI,low,non-ironic,What a kind thing to do.,"Is the following statement ironic? Answer with yes or no. 
""What a kind thing to do."""
C1_18_H_I,high,ironic,What a kind thing to do.,"Is the following statement ironic? Answer with yes or no. 
""He told everyone at the party about my personal problems without asking me first. What a kind thing to do."""
C1_18_H_NI,high,non-ironic,What a kind thing to do.,"Is the following statement ironic? Answer with yes or no. 
""She dropped off a home-cooked meal at my door when she heard I was unwell. What a kind thing to do."""
C1_19_L_I,low,ironic,This is the perfect time for this.,"Is the following statement ironic? Answer with yes or no. 
""This is the perfect time for this."""
C1_19_L_NI,low,non-ironic,This is the perfect time for this.,"Is the following statement ironic? Answer with yes or no. 
""This is the perfect time for this."""
C1_19_H_I,high,ironic,This is the perfect time for this.,"Is the following statement ironic? Answer with yes or no. 
""The internet cut out mid-presentation, the slides vanished, and the client had already started leaving. This is the perfect time for this."""
C1_19_H_NI,high,non-ironic,This is the perfect time for this.,"Is the following statement ironic? Answer with yes or no. 
""Everyone was settled, the room was quiet, and we had a full hour with no interruptions. This is the perfect time for this."""
C1_20_L_I,low,ironic,That driver was so considerate.,"Is the following statement ironic? Answer with yes or no. 
""That driver was so considerate."""
C1_20_L_NI,low,non-ironic,That driver was so considerate.,"Is the following statement ironic? Answer with yes or no. 
""That driver was so considerate."""
C1_20_H_I,high,ironic,That driver was so considerate.,"Is the following statement ironic? Answer with yes or no. 
""He cut across three lanes without indicating and then honked at me for using the road. That driver was so considerate."""
C1_20_H_NI,high,non-ironic,That driver was so considerate.,"Is the following statement ironic? Answer with yes or no. 
""She slowed down to let me merge and gave a friendly wave as I pulled in. That driver was so considerate."""
C1_21_L_I,low,ironic,This is such a well-designed product.,"Is the following statement ironic? Answer with yes or no. 
""This is such a well-designed product."""
C1_21_L_NI,low,non-ironic,This is such a well-designed product.,"Is the following statement ironic? Answer with yes or no. 
""This is such a well-designed product."""
C1_21_H_I,high,ironic,This is such a well-designed product.,"Is the following statement ironic? Answer with yes or no. 
""The instructions were missing, three parts were broken, and there was no customer service number to call. This is such a well-designed product."""
C1_21_H_NI,high,non-ironic,This is such a well-designed product.,"Is the following statement ironic? Answer with yes or no. 
""Everything was clearly labelled, snapped together in minutes, and came with a thorough illustrated guide. This is such a well-designed product."""
C1_22_L_I,low,ironic,I am really enjoying this queue.,"Is the following statement ironic? Answer with yes or no. 
""I am really enjoying this queue."""
C1_22_L_NI,low,non-ironic,I am really enjoying this queue.,"Is the following statement ironic? Answer with yes or no. 
""I am really enjoying this queue."""
C1_22_H_I,high,ironic,I am really enjoying this queue.,"Is the following statement ironic? Answer with yes or no. 
""I have been standing here for forty-five minutes and the line has barely moved. I am really enjoying this queue."""
C1_22_H_NI,high,non-ironic,I am really enjoying this queue.,"Is the following statement ironic? Answer with yes or no. 
""There are only three people ahead of me and a barista just brought everyone a free sample. I am really enjoying this queue."""
C1_23_L_I,low,ironic,What an easy fix.,"Is the following statement ironic? Answer with yes or no. 
""What an easy fix."""
C1_23_L_NI,low,non-ironic,What an easy fix.,"Is the following statement ironic? Answer with yes or no. 
""What an easy fix."""
C1_23_H_I,high,ironic,What an easy fix.,"Is the following statement ironic? Answer with yes or no. 
""The technician spent six hours on it, ordered three replacement parts, and still could not work out what was wrong. What an easy fix."""
C1_23_H_NI,high,non-ironic,What an easy fix.,"Is the following statement ironic? Answer with yes or no. 
""It turned out to be a loose cable and the whole thing was up and running in under five minutes. What an easy fix."""
C1_24_L_I,low,ironic,That speech was memorable.,"Is the following statement ironic? Answer with yes or no. 
""That speech was memorable."""
C1_24_L_NI,low,non-ironic,That speech was memorable.,"Is the following statement ironic? Answer with yes or no. 
""That speech was memorable."""
C1_24_H_I,high,ironic,That speech was memorable.,"Is the following statement ironic? Answer with yes or no. 
""The speaker lost their place three times, went twenty minutes over time, and the microphone kept cutting out. That speech was memorable."""
C1_24_H_NI,high,non-ironic,That speech was memorable.,"Is the following statement ironic? Answer with yes or no. 
""The audience gave a standing ovation and several people said it was the best talk they had ever attended. That speech was memorable."""
C1_25_L_I,low,ironic,I love being kept waiting.,"Is the following statement ironic? Answer with yes or no. 
""I love being kept waiting."""
C1_25_L_NI,low,non-ironic,I love being kept waiting.,"Is the following statement ironic? Answer with yes or no. 
""I love being kept waiting."""
C1_25_H_I,high,ironic,I love being kept waiting.,"Is the following statement ironic? Answer with yes or no. 
""I arrived on time and sat in the waiting room for an hour and a half before anyone acknowledged me. I love being kept waiting."""
C1_25_H_NI,high,non-ironic,I love being kept waiting.,"Is the following statement ironic? Answer with yes or no. 
""They texted to say they were running five minutes late and had coffee ready for me when I arrived. I love being kept waiting."""
C1_26_L_I,low,ironic,That was a bargain.,"Is the following statement ironic? Answer with yes or no. 
""That was a bargain."""
C1_26_L_NI,low,non-ironic,That was a bargain.,"Is the following statement ironic? Answer with yes or no. 
""That was a bargain."""
C1_26_H_I,high,ironic,That was a bargain.,"Is the following statement ironic? Answer with yes or no. 
""I paid three times the listed price after hidden fees, delivery charges, and a mandatory insurance add-on. That was a bargain."""
C1_26_H_NI,high,non-ironic,That was a bargain.,"Is the following statement ironic? Answer with yes or no. 
""The item was already half-price and they threw in free shipping and a loyalty discount on top. That was a bargain."""
C1_27_L_I,low,ironic,What a comfortable journey.,"Is the following statement ironic? Answer with yes or no. 
""What a comfortable journey."""
C1_27_L_NI,low,non-ironic,What a comfortable journey.,"Is the following statement ironic? Answer with yes or no. 
""What a comfortable journey."""
C1_27_H_I,high,ironic,What a comfortable journey.,"Is the following statement ironic? Answer with yes or no. 
""The seats were broken, the heating was stuck on full, and the person behind me kicked my chair the whole way. What a comfortable journey."""
C1_27_H_NI,high,non-ironic,What a comfortable journey.,"Is the following statement ironic? Answer with yes or no. 
""I had a window seat, plenty of legroom, and slept soundly for most of the four-hour trip. What a comfortable journey."""
C1_28_L_I,low,ironic,That was a perfectly timed interruption.,"Is the following statement ironic? Answer with yes or no. 
""That was a perfectly timed interruption."""
C1_28_L_NI,low,non-ironic,That was a perfectly timed interruption.,"Is the following statement ironic? Answer with yes or no. 
""That was a perfectly timed interruption."""
C1_28_H_I,high,ironic,That was a perfectly timed interruption.,"Is the following statement ironic? Answer with yes or no. 
""My colleague burst in just as I was delivering the punchline of a story that took ten minutes to set up. That was a perfectly timed interruption."""
C1_28_H_NI,high,non-ironic,That was a perfectly timed interruption.,"Is the following statement ironic? Answer with yes or no. 
""My colleague stepped in right as the conversation hit a lull and brought exactly the energy the room needed. That was a perfectly timed interruption."""
C1_29_L_I,low,ironic,What helpful feedback.,"Is the following statement ironic? Answer with yes or no. 
""What helpful feedback."""
C1_29_L_NI,low,non-ironic,What helpful feedback.,"Is the following statement ironic? Answer with yes or no. 
""What helpful feedback."""
C1_29_H_I,high,ironic,What helpful feedback.,"Is the following statement ironic? Answer with yes or no. 
""The reviewer left a single comment saying it was not their style and gave no further explanation. What helpful feedback."""
C1_29_H_NI,high,non-ironic,What helpful feedback.,"Is the following statement ironic? Answer with yes or no. 
""The reviewer went through every section with specific suggestions, examples, and a note about what was working well. What helpful feedback."""
C1_30_L_I,low,ironic,I am so glad I asked for help.,"Is the following statement ironic? Answer with yes or no. 
""I am so glad I asked for help."""
C1_30_L_NI,low,non-ironic,I am so glad I asked for help.,"Is the following statement ironic? Answer with yes or no. 
""I am so glad I asked for help."""
C1_30_H_I,high,ironic,I am so glad I asked for help.,"Is the following statement ironic? Answer with yes or no. 
""The person I asked gave me completely wrong directions and I ended up two kilometres from where I needed to be. I am so glad I asked for help."""
C1_30_H_NI,high,non-ironic,I am so glad I asked for help.,"Is the following statement ironic? Answer with yes or no. 
""The person I asked walked me there themselves, introduced me to the right contact, and saved me hours of searching. I am so glad I asked for help."""
