item_id,context-level,irony_label,basic_utterance,full_prompt,model_output
C1_14_L,high,ironic,What a smooth commute.,"Is the following statement ironic? Answer with yes or no. 
""There were two delays, a signal failure, I had to stand the whole way, and missed my connection. What a smooth commute.""","Yes. 

The statement describes a very *un*smooth commute, and then calls it """
C1_14_L_NI,high,non-ironic,What a smooth commute.,"Is the following statement ironic? Answer with yes or no. 
""The train was on time, I got a seat by the window, and arrived ten minutes early. What a smooth commute.""","Yes.

The statement describes a *perfect* commute, which is ironic because commutes are almost universally"
C1_15_M,low,ironic,That party was so much fun.,"Is the following statement ironic? Answer with yes or no. 
""That party was so much fun.""","This depends entirely on the context! 

Without knowing *why* the party wasn't fun"
C1_15_M_NI,low,non-ironic,That party was so much fun.,"Is the following statement ironic? Answer with yes or no. 
""That party was so much fun.""","This depends entirely on the context! 

Without knowing *why* the party wasn't fun"
C1_15_L,high,ironic,That party was so much fun.,"Is the following statement ironic? Answer with yes or no. 
""Nobody showed up, the music broke, and the food ran out within ten minutes. That party was so much fun.""","Yes. 

The description of a terrible party experience (nobody showed up, equipment failure, food"
C1_15_L,high,non-ironic,That party was so much fun.,"Is the following statement ironic? Answer with yes or no. 
""Everyone came, we danced until midnight, and it ended with a surprise fireworks display. That party was so much fun.""","Yes.

Here's why: The statement describes a very celebratory and joyful event (everyone coming"
C1_16_L_I,low,ironic,That was a brilliant idea.,"Is the following statement ironic? Answer with yes or no. 
""That was a brilliant idea.""","This depends entirely on the context! 

Without knowing *why* someone said ""That was a"
C1_16_L_NI,low,non-ironic,That was a brilliant idea.,"Is the following statement ironic? Answer with yes or no. 
""That was a brilliant idea.""","This depends entirely on the context! 

Without knowing *why* someone said ""That was a"
C1_16_H_I,high,ironic,That was a brilliant idea.,"Is the following statement ironic? Answer with yes or no. 
""He suggested skipping the safety checks to save time, and the whole system crashed within an hour. That was a brilliant idea.""","Yes. 

The statement is ironic because suggesting to skip safety checks to save time directly led to"
C1_16_H_NI,high,non-ironic,That was a brilliant idea.,"Is the following statement ironic? Answer with yes or no. 
""She proposed a shortcut that saved the team two days of work and impressed the entire department. That was a brilliant idea.""","Yes.

Here's why: The irony lies in the fact that a ""shortcut"" often"
C1_17_L_I,low,ironic,I am so happy with this result.,"Is the following statement ironic? Answer with yes or no. 
""I am so happy with this result.""","Potentially yes. 

It depends entirely on the context. If the ""result"" is something"
C1_17_L_NI,low,non-ironic,I am so happy with this result.,"Is the following statement ironic? Answer with yes or no. 
""I am so happy with this result.""","Potentially yes. 

It depends entirely on the context. If the ""result"" is something"
C1_17_H_I,high,ironic,I am so happy with this result.,"Is the following statement ironic? Answer with yes or no. 
""I studied for weeks, stayed up all night, and still failed the test by one mark. I am so happy with this result.""","Yes. 

The statement expresses happiness about a disappointing outcome – failing a test after significant effort."
C1_17_H_NI,high,non-ironic,I am so happy with this result.,"Is the following statement ironic? Answer with yes or no. 
""I put in months of hard work and came out with the highest grade in my cohort. I am so happy with this result.""","No. 

The statement describes a positive outcome (highest grade) resulting from hard work, and"
C1_18_L_I,low,ironic,What a kind thing to do.,"Is the following statement ironic? Answer with yes or no. 
""What a kind thing to do.""","Yes. 

Ironic statements often involve saying the opposite of what is meant. Saying ""What"
C1_18_L_NI,low,non-ironic,What a kind thing to do.,"Is the following statement ironic? Answer with yes or no. 
""What a kind thing to do.""","Yes. 

Ironic statements often involve saying the opposite of what is meant. Saying ""What"
C1_18_H_I,high,ironic,What a kind thing to do.,"Is the following statement ironic? Answer with yes or no. 
""He told everyone at the party about my personal problems without asking me first. What a kind thing to do.""","Yes. 

The statement ""What a kind thing to do"" is directly contradicted by the action"
C1_18_H_NI,high,non-ironic,What a kind thing to do.,"Is the following statement ironic? Answer with yes or no. 
""She dropped off a home-cooked meal at my door when she heard I was unwell. What a kind thing to do.""","Yes.

The irony lies in the fact that dropping off a meal is a *reaction* to"
C1_19_L_I,low,ironic,This is the perfect time for this.,"Is the following statement ironic? Answer with yes or no. 
""This is the perfect time for this.""","Potentially yes. 

It depends heavily on the context. The statement is often used ironically when"
C1_19_L_NI,low,non-ironic,This is the perfect time for this.,"Is the following statement ironic? Answer with yes or no. 
""This is the perfect time for this.""","Potentially yes. 

It depends heavily on the context. The statement is often used ironically when"
C1_19_H_I,high,ironic,This is the perfect time for this.,"Is the following statement ironic? Answer with yes or no. 
""The internet cut out mid-presentation, the slides vanished, and the client had already started leaving. This is the perfect time for this.""","Yes. 

The statement expresses a sentiment (""perfect time"") that is directly contradictory to the disastrous"
C1_19_H_NI,high,non-ironic,This is the perfect time for this.,"Is the following statement ironic? Answer with yes or no. 
""Everyone was settled, the room was quiet, and we had a full hour with no interruptions. This is the perfect time for this.""","Yes. 

The statement describes a *perfect* time for something, but the implication is that"
C1_20_L_I,low,ironic,That driver was so considerate.,"Is the following statement ironic? Answer with yes or no. 
""That driver was so considerate.""","Yes.

Here's why: Saying someone is ""considerate"" usually implies good behavior."
C1_20_L_NI,low,non-ironic,That driver was so considerate.,"Is the following statement ironic? Answer with yes or no. 
""That driver was so considerate.""","Yes.

Here's why: Saying someone is ""considerate"" usually implies good behavior."
C1_20_H_I,high,ironic,That driver was so considerate.,"Is the following statement ironic? Answer with yes or no. 
""He cut across three lanes without indicating and then honked at me for using the road. That driver was so considerate.""","Yes. 

The statement describes a driver who acted inconsiderately (cutting lanes and then honking"
C1_20_H_NI,high,non-ironic,That driver was so considerate.,"Is the following statement ironic? Answer with yes or no. 
""She slowed down to let me merge and gave a friendly wave as I pulled in. That driver was so considerate.""","Yes.

The statement describes a considerate driver, but the implied irony is that the driver likely slowed"
C1_21_L_I,low,ironic,This is such a well-designed product.,"Is the following statement ironic? Answer with yes or no. 
""This is such a well-designed product.""","Potentially yes. 

It depends on the context. If the product is clearly poorly designed and"
C1_21_L_NI,low,non-ironic,This is such a well-designed product.,"Is the following statement ironic? Answer with yes or no. 
""This is such a well-designed product.""","Potentially yes. 

It depends on the context. If the product is clearly poorly designed and"
C1_21_H_I,high,ironic,This is such a well-designed product.,"Is the following statement ironic? Answer with yes or no. 
""The instructions were missing, three parts were broken, and there was no customer service number to call. This is such a well-designed product.""","Yes. 

The description of terrible product quality directly contradicts the statement of it being ""well-"
C1_21_H_NI,high,non-ironic,This is such a well-designed product.,"Is the following statement ironic? Answer with yes or no. 
""Everything was clearly labelled, snapped together in minutes, and came with a thorough illustrated guide. This is such a well-designed product.""","Yes.

The statement describes a product that is *so* well-designed it’s ridiculously"
C1_22_L_I,low,ironic,I am really enjoying this queue.,"Is the following statement ironic? Answer with yes or no. 
""I am really enjoying this queue.""","Yes.

Queuing is generally considered unpleasant, so saying you're ""really enjoying it"""
C1_22_L_NI,low,non-ironic,I am really enjoying this queue.,"Is the following statement ironic? Answer with yes or no. 
""I am really enjoying this queue.""","Yes.

Queuing is generally considered unpleasant, so saying you're ""really enjoying it"""
C1_22_H_I,high,ironic,I am really enjoying this queue.,"Is the following statement ironic? Answer with yes or no. 
""I have been standing here for forty-five minutes and the line has barely moved. I am really enjoying this queue.""","Yes. 

The statement expresses enjoyment while simultaneously describing a frustrating and unproductive experience (a long,"
C1_22_H_NI,high,non-ironic,I am really enjoying this queue.,"Is the following statement ironic? Answer with yes or no. 
""There are only three people ahead of me and a barista just brought everyone a free sample. I am really enjoying this queue.""","Yes.

The statement expresses enjoyment of a queue (which is typically unpleasant), while the situation ("
C1_23_L_I,low,ironic,What an easy fix.,"Is the following statement ironic? Answer with yes or no. 
""What an easy fix.""","Yes. 

The statement ""What an easy fix"" is often ironic when referring to a problem"
C1_23_L_NI,low,non-ironic,What an easy fix.,"Is the following statement ironic? Answer with yes or no. 
""What an easy fix.""","Yes. 

The statement ""What an easy fix"" is often ironic when referring to a problem"
C1_23_H_I,high,ironic,What an easy fix.,"Is the following statement ironic? Answer with yes or no. 
""The technician spent six hours on it, ordered three replacement parts, and still could not work out what was wrong. What an easy fix.""","Yes. 

The statement highlights a frustrating and difficult situation (six hours, multiple parts, still"
C1_23_H_NI,high,non-ironic,What an easy fix.,"Is the following statement ironic? Answer with yes or no. 
""It turned out to be a loose cable and the whole thing was up and running in under five minutes. What an easy fix.""","Yes. 

The statement expresses surprise and ease (""What an easy fix"") about a problem that"
C1_24_L_I,low,ironic,That speech was memorable.,"Is the following statement ironic? Answer with yes or no. 
""That speech was memorable.""","No.

While a speech *could* be memorable for bad reasons (e.g., it"
C1_24_L_NI,low,non-ironic,That speech was memorable.,"Is the following statement ironic? Answer with yes or no. 
""That speech was memorable.""","No.

While a speech *could* be memorable for bad reasons (e.g., it"
C1_24_H_I,high,ironic,That speech was memorable.,"Is the following statement ironic? Answer with yes or no. 
""The speaker lost their place three times, went twenty minutes over time, and the microphone kept cutting out. That speech was memorable.""","Yes. 

The events described – losing the place repeatedly, going over time, and technical difficulties"
C1_24_H_NI,high,non-ironic,That speech was memorable.,"Is the following statement ironic? Answer with yes or no. 
""The audience gave a standing ovation and several people said it was the best talk they had ever attended. That speech was memorable.""","Yes. 

The statement implies the speech was exceptionally good, deserving of a standing ovation and widespread"
C1_25_L_I,low,ironic,I love being kept waiting.,"Is the following statement ironic? Answer with yes or no. 
""I love being kept waiting.""","Yes.

It’s ironic because no one genuinely *likes* being kept waiting. The statement"
C1_25_L_NI,low,non-ironic,I love being kept waiting.,"Is the following statement ironic? Answer with yes or no. 
""I love being kept waiting.""","Yes.

It’s ironic because no one genuinely *likes* being kept waiting. The statement"
C1_25_H_I,high,ironic,I love being kept waiting.,"Is the following statement ironic? Answer with yes or no. 
""I arrived on time and sat in the waiting room for an hour and a half before anyone acknowledged me. I love being kept waiting.""","Yes. 

The statement expresses ""love"" for being kept waiting, which is the opposite of"
C1_25_H_NI,high,non-ironic,I love being kept waiting.,"Is the following statement ironic? Answer with yes or no. 
""They texted to say they were running five minutes late and had coffee ready for me when I arrived. I love being kept waiting.""","Yes. 

The statement expresses ""loving"" being kept waiting, which is the opposite of how"
C1_26_L_I,low,ironic,That was a bargain.,"Is the following statement ironic? Answer with yes or no. 
""That was a bargain.""","Yes.

The statement ""That was a bargain"" is often used ironically when something was actually a"
C1_26_L_NI,low,non-ironic,That was a bargain.,"Is the following statement ironic? Answer with yes or no. 
""That was a bargain.""","Yes.

The statement ""That was a bargain"" is often used ironically when something was actually a"
C1_26_H_I,high,ironic,That was a bargain.,"Is the following statement ironic? Answer with yes or no. 
""I paid three times the listed price after hidden fees, delivery charges, and a mandatory insurance add-on. That was a bargain.""","Yes. 

The statement is clearly ironic. Paying significantly more than the listed price and then calling"
C1_26_H_NI,high,non-ironic,That was a bargain.,"Is the following statement ironic? Answer with yes or no. 
""The item was already half-price and they threw in free shipping and a loyalty discount on top. That was a bargain.""","Yes. 

The statement describes an incredibly generous offer, which contradicts the implied expectation that a """
C1_27_L_I,low,ironic,What a comfortable journey.,"Is the following statement ironic? Answer with yes or no. 
""What a comfortable journey.""","Yes. 

The statement ""What a comfortable journey"" is often ironic when said after a particularly"
C1_27_L_NI,low,non-ironic,What a comfortable journey.,"Is the following statement ironic? Answer with yes or no. 
""What a comfortable journey.""","Yes. 

The statement ""What a comfortable journey"" is often ironic when said after a particularly"
C1_27_H_I,high,ironic,What a comfortable journey.,"Is the following statement ironic? Answer with yes or no. 
""The seats were broken, the heating was stuck on full, and the person behind me kicked my chair the whole way. What a comfortable journey.""","Yes. 

The description of a terrible journey – broken seats, malfunctioning heating, and a disruptive"
C1_27_H_NI,high,non-ironic,What a comfortable journey.,"Is the following statement ironic? Answer with yes or no. 
""I had a window seat, plenty of legroom, and slept soundly for most of the four-hour trip. What a comfortable journey.""","Yes.

The statement describes a *comfortable* journey, but the implied situation (a long flight"
C1_28_L_I,low,ironic,That was a perfectly timed interruption.,"Is the following statement ironic? Answer with yes or no. 
""That was a perfectly timed interruption.""","Yes.

Ironic statements often involve a situation where the stated sentiment is the opposite of what is"
C1_28_L_NI,low,non-ironic,That was a perfectly timed interruption.,"Is the following statement ironic? Answer with yes or no. 
""That was a perfectly timed interruption.""","Yes.

Ironic statements often involve a situation where the stated sentiment is the opposite of what is"
C1_28_H_I,high,ironic,That was a perfectly timed interruption.,"Is the following statement ironic? Answer with yes or no. 
""My colleague burst in just as I was delivering the punchline of a story that took ten minutes to set up. That was a perfectly timed interruption.""","Yes. 

The statement describes an interruption that completely ruined the payoff of a long-built-"
C1_28_H_NI,high,non-ironic,That was a perfectly timed interruption.,"Is the following statement ironic? Answer with yes or no. 
""My colleague stepped in right as the conversation hit a lull and brought exactly the energy the room needed. That was a perfectly timed interruption.""","Yes. 

The statement describes an interruption as ""perfectly timed,"" which is ironic because interruptions"
C1_29_L_I,low,ironic,What helpful feedback.,"Is the following statement ironic? Answer with yes or no. 
""What helpful feedback.""","Yes. 

The phrase ""What helpful feedback"" is often used sarcastically when the feedback"
C1_29_L_NI,low,non-ironic,What helpful feedback.,"Is the following statement ironic? Answer with yes or no. 
""What helpful feedback.""","Yes. 

The phrase ""What helpful feedback"" is often used sarcastically when the feedback"
C1_29_H_I,high,ironic,What helpful feedback.,"Is the following statement ironic? Answer with yes or no. 
""The reviewer left a single comment saying it was not their style and gave no further explanation. What helpful feedback.""","Yes. 

The statement highlights the *lack* of helpful feedback while simultaneously complaining about it."
C1_29_H_NI,high,non-ironic,What helpful feedback.,"Is the following statement ironic? Answer with yes or no. 
""The reviewer went through every section with specific suggestions, examples, and a note about what was working well. What helpful feedback.""","Yes. 

The statement ""What helpful feedback"" is ironic because the preceding description details a *"
C1_30_L_I,low,ironic,I am so glad I asked for help.,"Is the following statement ironic? Answer with yes or no. 
""I am so glad I asked for help.""","Yes. 

The statement implies gratitude for seeking help, but the very act of needing help often"
C1_30_L_NI,low,non-ironic,I am so glad I asked for help.,"Is the following statement ironic? Answer with yes or no. 
""I am so glad I asked for help.""","Yes. 

The statement implies gratitude for seeking help, but the very act of needing help often"
C1_30_H_I,high,ironic,I am so glad I asked for help.,"Is the following statement ironic? Answer with yes or no. 
""The person I asked gave me completely wrong directions and I ended up two kilometres from where I needed to be. I am so glad I asked for help.""","Yes. 

The statement expresses gladness despite receiving completely unhelpful and frustrating assistance. That'"
C1_30_H_NI,high,non-ironic,I am so glad I asked for help.,"Is the following statement ironic? Answer with yes or no. 
""The person I asked walked me there themselves, introduced me to the right contact, and saved me hours of searching. I am so glad I asked for help.""","No. 

The statement expresses gratitude for help received, which is the opposite of irony. It"
