item_id,cg_level,irony_label,base_utterance,full_prompt,model_output
C2_11_H_I,high,ironic,That was very tactfully handled.,"Background (known to both): The manager publicly criticised an employee in front of the whole team. Both parties know that tact means handling sensitive matters privately and with care.
 
 Is the following statement ironic? Answer with yes or no.
 ""That was very tactfully handled.""","Yes.

The statement “That was very tactfully handled” directly contradicts the established background – that the criticism was public and handled privately. It implies the opposite of what was actually meant."
C2_11_H_NI,high,non-ironic,That was very tactfully handled.,"Background (known to both): The manager gave difficult feedback privately and with great care for the employee's feelings. Both parties understand that tact means choosing the right moment and manner for sensitive conversations.
 
 Is the following statement ironic? Answer with yes or no.
 ""That was very tactfully handled.""","Yes.

The statement “That was very tactfully handled” directly contradicts the established background – that the feedback was given with great care for the employee’s feelings. It implies the opposite of what was actually experienced."
C2_12_L_I,low,ironic,You are so responsible.,"Is the following statement ironic? Answer with yes or no.
 ""You are so responsible.""","Yes. 

It’s ironic because the statement implies someone is responsible, but the tone suggests the opposite – perhaps they are careless or irresponsible."
C2_12_L_NI,low,non-ironic,You are so responsible.,"Is the following statement ironic? Answer with yes or no.
 ""You are so responsible.""","Yes. 

It’s ironic because the statement implies someone is responsible, but the tone suggests the opposite – perhaps they are careless or irresponsible."
C2_12_H_I,high,ironic,You are so responsible.,"Background (known to both): The teenager forgot to feed the pet for three days despite being reminded. Both parties understand that responsibility means following through on agreed obligations.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are so responsible.""","Yes.

Here’s why:

The statement “You are so responsible” is ironic because the situation demonstrates a clear lack of responsibility. The teenager forgot to feed the pet, which is a significant failure to follow through on an agreement. The speaker is saying the opposite of what they truly feel – that the teenager is *not* responsible."
C2_12_H_NI,high,non-ironic,You are so responsible.,"Background (known to both): The teenager remembered every obligation without being reminded and took on extra chores. Both parties understand that responsibility means independently following through on what you agreed to do.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are so responsible.""","Yes.

The statement “You are so responsible” is ironic because the teenager’s behavior – remembering every obligation and taking on extra chores – directly contradicts the idea of being responsible. It’s a paradoxical statement highlighting the discrepancy between their actions and the expected meaning of the word."
C2_13_L_I,low,ironic,You are great at keeping people in the loop.,"Is the following statement ironic? Answer with yes or no.
 ""You are great at keeping people in the loop.""","Yes. 

It’s ironic because the statement implies a positive quality (keeping people in the loop) while the reality is often that people are kept *out* of information, creating a disconnect."
C2_13_L_NI,low,non-ironic,You are great at keeping people in the loop.,"Is the following statement ironic? Answer with yes or no.
 ""You are great at keeping people in the loop.""","Yes. 

It’s ironic because the statement implies a positive quality (keeping people in the loop) while the reality is often that people are kept *out* of information, creating a disconnect."
C2_13_H_I,high,ironic,You are great at keeping people in the loop.,"Background (known to both): The team lead made a major decision without informing anyone. All team members share the expectation that decisions affecting everyone should be communicated.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are great at keeping people in the loop.""","Yes.

Here’s why:

The statement directly contradicts the background – the team lead made a decision without informing anyone.  It’s ironic because the opposite of what’s being said is true."
C2_13_H_NI,high,non-ironic,You are great at keeping people in the loop.,"Background (known to both): The team lead sent a detailed update to everyone before the decision was finalised. All team members share the expectation that good communication means informing people proactively.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are great at keeping people in the loop.""","Yes.

The background explicitly states the team expects proactive communication. The statement ""You are great at keeping people in the loop"" directly contradicts this expectation, making it ironic."
C2_14_L_I,low,ironic,You clearly put a lot of work into this.,"Is the following statement ironic? Answer with yes or no.
 ""You clearly put a lot of work into this.""",Yes
C2_14_L_NI,low,non-ironic,You clearly put a lot of work into this.,"Is the following statement ironic? Answer with yes or no.
 ""You clearly put a lot of work into this.""",Yes
C2_14_H_I,high,ironic,You clearly put a lot of work into this.,"Background (known to both): The assignment was submitted as two paragraphs for a task requiring ten pages. Both the student and teacher share an understanding of what the task required.
 
 Is the following statement ironic? Answer with yes or no.
 ""You clearly put a lot of work into this.""","Yes.

The statement “You clearly put a lot of work into this” is ironic because it’s praising the effort while simultaneously suggesting the work was likely insufficient to meet the ten-page requirement. It’s a contradictory statement – the praise implies a significant investment, but the context (a ten-page assignment) suggests the work was likely not substantial enough."
C2_14_H_NI,high,non-ironic,You clearly put a lot of work into this.,"Background (known to both): The assignment was twenty pages long and thoroughly researched. Both the student and teacher share an understanding of what a high-effort submission looks like.
 
 Is the following statement ironic? Answer with yes or no.
 ""You clearly put a lot of work into this.""","Yes.

The statement “You clearly put a lot of work into this” is ironic because the context (a twenty-page assignment requiring thorough research) suggests a significant investment of effort. Saying someone ""clearly put a lot of work"" implies a lack of effort, which contradicts the established understanding of what a high-effort submission looks like."
C2_15_L_I,low,ironic,You responded so quickly.,"Is the following statement ironic? Answer with yes or no.
 ""You responded so quickly.""","Yes. 

The statement is ironic because it implies the response was *not* quick, given the context of the question about speed. It’s a sarcastic way of saying the person was slow."
C2_15_L_NI,low,non-ironic,You responded so quickly.,"Is the following statement ironic? Answer with yes or no.
 ""You responded so quickly.""","Yes. 

The statement is ironic because it implies the response was *not* quick, given the context of the question about speed. It’s a sarcastic way of saying the person was slow."
C2_15_H_I,high,ironic,You responded so quickly.,"Background (known to both): The email was sent two weeks ago and was only just answered. In this context, both parties understand that a quick response means replying within a day or two.
 
 Is the following statement ironic? Answer with yes or no.
 ""You responded so quickly.""","Yes.

The statement “You responded so quickly” is ironic because the context clearly indicates a delay – two weeks ago and only recently answered. Saying someone responded quickly in that situation is the opposite of what’s expected and therefore ironic."
C2_16_L_I,low,ironic,You are such a natural at this.,"Is the following statement ironic? Answer with yes or no.
  ""You are such a natural at this.""",Yes.
C2_16_L_NI,low,non-ironic,You are such a natural at this.,"Is the following statement ironic? Answer with yes or no.
  ""You are such a natural at this.""",Yes.
C2_16_H_I,high,ironic,You are such a natural at this.,"Background (known to both): It was her third attempt at the task and she still could not complete the first step. Both parties know that being a natural means picking things up quickly and easily.
 

 Is the following statement ironic? Answer with yes or no.
  ""You are such a natural at this.""","Yes.

The statement is ironic because the person is claiming to be a ""natural"" – implying ease and quickness – while simultaneously admitting they struggle with the first step. It’s a contradiction."
C2_16_H_NI,high,non-ironic,You are such a natural at this.,"Background (known to both): He completed the task on his first try with no guidance and spotted errors the trainer had missed. Both parties know that being a natural means performing effortlessly and intuitively from the start.
 

 Is the following statement ironic? Answer with yes or no.
  ""You are such a natural at this.""","Yes. 

The statement is ironic because the background describes a situation where the person is demonstrably *not* naturally gifted – they achieved the task effortlessly and intuitively without guidance. The phrase ""You are such a natural"" directly contradicts this."
C2_17_L_I,low,ironic,You really know how to make someone feel welcome.,"Is the following statement ironic? Answer with yes or no.
  ""You really know how to make someone feel welcome.""","Yes. 

It’s ironic because it implies the speaker *doesn’t* know how to make someone feel welcome, suggesting the opposite is true. It’s a sarcastic way of saying they’re not actually helpful."
C2_17_L_NI,low,non-ironic,You really know how to make someone feel welcome.,"Is the following statement ironic? Answer with yes or no.
  ""You really know how to make someone feel welcome.""","Yes. 

It’s ironic because it implies the speaker *doesn’t* know how to make someone feel welcome, suggesting the opposite is true. It’s a sarcastic way of saying they’re not actually helpful."
C2_17_H_I,high,ironic,You really know how to make someone feel welcome.,"Background (known to both): The host barely looked up when the guest arrived, offered no drink, and kept checking their phone. Both speaker and listener share the understanding that making someone feel welcome means giving them attention and warmth.
 

 Is the following statement ironic? Answer with yes or no.
  ""You really know how to make someone feel welcome.""","Yes.

The statement directly contradicts the background information – the host’s behavior – highlighting the irony of their lack of attention and warmth."
C2_17_H_NI,high,non-ironic,You really know how to make someone feel welcome.,"Background (known to both): The host greeted the guest at the door, had their favourite snacks ready, and made introductions to everyone. Both parties understand that making someone feel welcome means being attentive and thoughtful from the moment they arrive.
 

 Is the following statement ironic? Answer with yes or no.
  ""You really know how to make someone feel welcome.""","Yes.

The statement is ironic because it’s praising the host’s actions, but the context implies the guest is *expecting* a more elaborate and thoughtful welcome. The host’s actions are presented as a demonstration of a welcoming gesture, but the guest’s expectation is for something more."
C2_18_L_I,low,ironic,You are so easy to work with.,"Is the following statement ironic? Answer with yes or no.
  ""You are so easy to work with.""",Yes.
C2_18_L_NI,low,non-ironic,You are so easy to work with.,"Is the following statement ironic? Answer with yes or no.
  ""You are so easy to work with.""",Yes.
C2_18_H_I,high,ironic,You are so easy to work with.,"Background (known to both): The colleague missed every deadline, ignored feedback, and required constant follow-up on each task. Both parties know that being easy to work with means being reliable, responsive, and open to input.
 

 Is the following statement ironic? Answer with yes or no.
  ""You are so easy to work with.""","Yes.

The statement is ironic because the context (missed deadlines, ignored feedback, constant follow-up) directly contradicts the idea of being easy to work with. It’s saying the opposite of what’s actually true."
C2_18_H_NI,high,non-ironic,You are so easy to work with.,"Background (known to both): The colleague delivered ahead of schedule, incorporated all feedback, and kept everyone informed without being asked. Both parties understand that being easy to work with means being proactive, flexible, and communicative.
 

 Is the following statement ironic? Answer with yes or no.
  ""You are so easy to work with.""","Yes.

The statement is ironic because the background describes a colleague who is proactive, flexible, and communicative – all positive qualities. Saying ""You are so easy to work with"" directly contradicts this positive portrayal."
C2_19_L_I,low,ironic,You are so good at reading the room.,"Is the following statement ironic? Answer with yes or no.
  ""You are so good at reading the room.""",Yes
C2_19_L_NI,low,non-ironic,You are so good at reading the room.,"Is the following statement ironic? Answer with yes or no.
  ""You are so good at reading the room.""",Yes
C2_19_H_I,high,ironic,You are so good at reading the room.,"Background (known to both): She launched into a long anecdote right as the meeting was wrapping up and everyone was trying to leave. Both speaker and listener understand that reading the room means picking up on the mood and adjusting accordingly.
 

 Is the following statement ironic? Answer with yes or no.
  ""You are so good at reading the room.""","Yes.

The statement is ironic because it’s praising someone’s ability to read the room, but the context – the meeting is ending and people are leaving – suggests the opposite is true. It’s a sarcastic comment highlighting the speaker’s potentially disruptive or overly-focused behavior."
C2_19_H_NI,high,non-ironic,You are so good at reading the room.,"Background (known to both): He noticed the team was exhausted and suggested wrapping up early before anyone had to ask. Both parties know that reading the room means recognising what others need without them having to say it.
 

 Is the following statement ironic? Answer with yes or no.
  ""You are so good at reading the room.""","Yes.

The statement is ironic because the person offering the feedback is actually *not* reading the room. They’re suggesting a premature end to the session, which is the opposite of recognizing what others need."
C2_20_L_I,low,ironic,You always follow through on your promises.,"Is the following statement ironic? Answer with yes or no.
  ""You always follow through on your promises.""",Yes.
C2_20_L_NI,low,non-ironic,You always follow through on your promises.,"Is the following statement ironic? Answer with yes or no.
  ""You always follow through on your promises.""",Yes.
C2_20_H_I,high,ironic,You always follow through on your promises.,"Background (known to both): He said he would have the draft ready by Tuesday and finally sent it the following month. Both parties understand that following through on promises means doing what you said you would, when you said you would.
 

 Is the following statement ironic? Answer with yes or no.
  ""You always follow through on your promises.""","Yes.

The statement directly contradicts the background information – the person promised to deliver the draft by Tuesday and then didn’t. It’s ironic because it highlights a failure to follow through on a commitment."
C2_20_H_NI,high,non-ironic,You always follow through on your promises.,"Background (known to both): She committed to having the draft ready by Tuesday and delivered it Monday evening with a note asking for feedback. Both parties share the understanding that following through means keeping your word reliably and without needing reminders.
 

 Is the following statement ironic? Answer with yes or no.
  ""You always follow through on your promises.""","Yes. 

The context explicitly states that she delivered it Monday evening with a note asking for feedback – a promise. Saying ""You always follow through on your promises"" directly contradicts this action, creating irony."
C2_21_L_I,low,ironic,You are so good at taking criticism.,"Is the following statement ironic? Answer with yes or no.
  ""You are so good at taking criticism.""",Yes.
C2_21_L_NI,low,non-ironic,You are so good at taking criticism.,"Is the following statement ironic? Answer with yes or no.
  ""You are so good at taking criticism.""",Yes.
C2_21_H_I,high,ironic,You are so good at taking criticism.,"Background (known to both): He went silent for two days after receiving feedback and then sent a lengthy email defending every choice. Both parties know that taking criticism well means listening, acknowledging, and moving forward constructively.
 

 Is the following statement ironic? Answer with yes or no.
  ""You are so good at taking criticism.""","Yes.

The statement is ironic because the context – the silence and the defensive email – directly contradicts the implied meaning of ""taking criticism well."" It suggests the person is *not* genuinely receptive to feedback."
C2_21_H_NI,high,non-ironic,You are so good at taking criticism.,"Background (known to both): She thanked the reviewer, asked clarifying questions, and incorporated every suggestion into the next draft. Both parties understand that taking criticism well means receiving it openly and using it to improve.
 

 Is the following statement ironic? Answer with yes or no.
  ""You are so good at taking criticism.""","Yes.

The context explicitly states she “incorporated every suggestion into the next draft” and understands that taking criticism well means receiving it openly. The statement is ironic because it’s praising her for a behavior that is already expected and considered a positive trait."
C2_22_L_I,low,ironic,You really have a gift for explaining things clearly.,"Is the following statement ironic? Answer with yes or no.
  ""You really have a gift for explaining things clearly.""",Yes
C2_22_L_NI,low,non-ironic,You really have a gift for explaining things clearly.,"Is the following statement ironic? Answer with yes or no.
  ""You really have a gift for explaining things clearly.""",Yes
C2_22_H_I,high,ironic,You really have a gift for explaining things clearly.,"Background (known to both): His explanation used so much jargon that no one in the room understood what he was trying to say. Both speaker and listener know that explaining clearly means using language the audience can follow.
 

 Is the following statement ironic? Answer with yes or no.
  ""You really have a gift for explaining things clearly.""","Yes.

The statement is ironic because it directly contradicts the background information – that the speaker’s explanations were confusing. It’s praising someone for a quality that is demonstrably undermined by the way they communicate."
C2_22_H_NI,high,non-ironic,You really have a gift for explaining things clearly.,"Background (known to both): Her explanation used a simple analogy that made the whole group nod and say they finally understood. Both parties understand that clear explanation means making a concept accessible to the specific audience.
 

 Is the following statement ironic? Answer with yes or no.
  ""You really have a gift for explaining things clearly.""","Yes.

The context – the simple analogy and the nodding group – strongly suggests the statement is ironic. It’s praising someone’s ability to explain clearly, but the situation implies the explanation was *too* simple and didn’t truly resonate with the audience."
C2_23_L_I,low,ironic,You handle pressure so well.,"Is the following statement ironic? Answer with yes or no.
  ""You handle pressure so well.""",Yes.
C2_23_L_NI,low,non-ironic,You handle pressure so well.,"Is the following statement ironic? Answer with yes or no.
  ""You handle pressure so well.""",Yes.
C2_23_H_I,high,ironic,You handle pressure so well.,"Background (known to both): She panicked, snapped at two colleagues, and left the meeting before it was over when the deadline moved up. Both parties understand that handling pressure well means staying calm and functional in stressful situations.
 

 Is the following statement ironic? Answer with yes or no.
  ""You handle pressure so well.""","Yes. 

The statement directly contradicts the described behavior – panicking, snapping, and leaving a meeting – making it ironic."
C2_23_H_NI,high,non-ironic,You handle pressure so well.,"Background (known to both): He stayed calm, redistributed the workload fairly, and kept the team focused until everything was under control. Both parties know that handling pressure well means leading steadily and keeping things together when it matters most.
 

 Is the following statement ironic? Answer with yes or no.
  ""You handle pressure so well.""","Yes.

The statement directly contradicts the background provided – the emphasis on calm, fairness, and focus during pressure. Saying someone ""handles pressure well"" implies a skillful and steady approach, which is the opposite of the described behavior."
C2_24_L_I,low,ironic,You are incredibly patient.,"Is the following statement ironic? Answer with yes or no.
  ""You are incredibly patient.""",Yes.
C2_24_L_NI,low,non-ironic,You are incredibly patient.,"Is the following statement ironic? Answer with yes or no.
  ""You are incredibly patient.""",Yes.
C2_24_H_I,high,ironic,You are incredibly patient.,"Background (known to both): She sighed loudly and walked away after waiting less than two minutes for an answer. Both speaker and listener understand that patience means waiting calmly without expressing frustration.
 

 Is the following statement ironic? Answer with yes or no.
  ""You are incredibly patient.""","Yes.

The context explicitly states that she sighed loudly and waited less than two minutes. Saying ""You are incredibly patient"" directly contradicts this behavior, creating irony."
C2_24_H_NI,high,non-ironic,You are incredibly patient.,"Background (known to both): He waited quietly for twenty minutes while the other person gathered their thoughts without rushing them once. Both parties know that patience means giving others the time they need without making them feel pressured.
 

 Is the following statement ironic? Answer with yes or no.
  ""You are incredibly patient.""","Yes.

The statement “You are incredibly patient” is ironic because it directly contradicts the established background – that the person waited quietly and didn’t pressure anyone. It’s a blatant flip of expectations."
